"Notes"	"County"	"County Code"	Births
"Total"			3988076
	"Los Angeles County, CA"	"06037"	130289
	"Harris County, TX"	"48201"	71475
	"Cook County, IL"	"17031"	69579
	"Unidentified Counties, TX"	"48999"	60226
	"Maricopa County, AZ"	"04013"	55410
	"San Diego County, CA"	"06073"	44596
	"Unidentified Counties, GA"	"13999"	42085
	"Kings County, NY"	"36047"	41812
	"Dallas County, TX"	"48113"	39806
	"Unidentified Counties, VA"	"51999"	39114
	"Orange County, CA"	"06059"	38595
	"Unidentified Counties, KY"	"21999"	34754
	"Miami-Dade County, FL"	"12086"	32011
	"Unidentified Counties, NC"	"37999"	31475
	"San Bernardino County, CA"	"06071"	31226
	"Unidentified Counties, OH"	"39999"	30747
	"Unidentified Counties, TN"	"47999"	30704
	"Unidentified Counties, MO"	"29999"	30525
	"Queens County, NY"	"36081"	30437
	"Riverside County, CA"	"06065"	30235
	"Unidentified Counties, IN"	"18999"	29564
	"Tarrant County, TX"	"48439"	28420
	"Bexar County, TX"	"48029"	27792
	"Unidentified Counties, MS"	"28999"	26904
	"Clark County, NV"	"32003"	26798
	"King County, WA"	"53033"	25363
	"Unidentified Counties, OK"	"40999"	24947
	"Santa Clara County, CA"	"06085"	23742
	"Wayne County, MI"	"26163"	23383
	"Unidentified Counties, AL"	"01999"	23124
	"Unidentified Counties, MN"	"27999"	22898
	"Unidentified Counties, IA"	"19999"	22496
	"Unidentified Counties, IL"	"17999"	22468
	"Philadelphia County, PA"	"42101"	22389
	"Unidentified Counties, MI"	"26999"	22315
	"Broward County, FL"	"12011"	22219
	"Unidentified Counties, WI"	"55999"	21679
	"Unidentified Counties, AR"	"05999"	21597
	"Bronx County, NY"	"36005"	21556
	"Unidentified Counties, LA"	"22999"	21139
	"Sacramento County, CA"	"06067"	19871
	"Alameda County, CA"	"06001"	19650
	"Franklin County, OH"	"39049"	18872
	"Unidentified Counties, NY"	"36999"	18743
	"New York County, NY"	"36061"	18518
	"Unidentified Counties, KS"	"20999"	18112
	"Salt Lake County, UT"	"49035"	17894
	"Middlesex County, MA"	"25017"	17592
	"Unidentified Counties, PA"	"42999"	16920
	"Hillsborough County, FL"	"12057"	16855
	"Hennepin County, MN"	"27053"	16784
	"Unidentified Counties, WV"	"54999"	16760
	"Travis County, TX"	"48453"	16399
	"Hidalgo County, TX"	"48215"	16331
	"Orange County, FL"	"12095"	16227
	"Fresno County, CA"	"06019"	15762
	"Suffolk County, NY"	"36103"	15576
	"Cuyahoga County, OH"	"39035"	15083
	"Fairfax County, VA"	"51059"	14758
	"Marion County, IN"	"18097"	14647
	"Palm Beach County, FL"	"12099"	14442
	"Mecklenburg County, NC"	"37119"	14421
	"Nassau County, NY"	"36059"	14371
	"Kern County, CA"	"06029"	14193
	"Milwaukee County, WI"	"55079"	13937
	"Shelby County, TN"	"47157"	13843
	"Fulton County, GA"	"13121"	13741
	"El Paso County, TX"	"48141"	13583
	"Unidentified Counties, SC"	"45999"	13521
	"Oakland County, MI"	"26125"	13484
	"Allegheny County, PA"	"42003"	13293
	"Montgomery County, MD"	"24031"	13267
	"Honolulu County, HI"	"15003"	13219
	"Unidentified Counties, FL"	"12999"	13147
	"Wake County, NC"	"37183"	12641
	"Unidentified Counties, WA"	"53999"	12636
	"Contra Costa County, CA"	"06013"	12557
	"Duval County, FL"	"12031"	12520
	"Oklahoma County, OK"	"40109"	12295
	"Prince George's County, MD"	"24033"	12264
	"Utah County, UT"	"49049"	11945
	"Pima County, AZ"	"04019"	11864
	"St. Louis County, MO"	"29189"	11726
	"Pierce County, WA"	"53053"	11666
	"Unidentified Counties, NE"	"31999"	11343
	"Gwinnett County, GA"	"13135"	11303
	"Hamilton County, OH"	"39061"	11047
	"Collin County, TX"	"48085"	10890
	"DeKalb County, GA"	"13089"	10887
	"Unidentified Counties, ID"	"16999"	10869
	"DuPage County, IL"	"17043"	10737
	"Westchester County, NY"	"36119"	10635
	"Ventura County, CA"	"06111"	10468
	"Unidentified Counties, NM"	"35999"	10461
	"Unidentified Counties, CA"	"06999"	10367
	"Davidson County, TN"	"47037"	10272
	"Essex County, NJ"	"34013"	10266
	"Unidentified Counties, OR"	"41999"	10246
	"Fairfield County, CT"	"09001"	10225
	"Hudson County, NJ"	"34017"	10166
	"Erie County, NY"	"36029"	10135
	"San Joaquin County, CA"	"06077"	10113
	"Baltimore County, MD"	"24005"	10079
